Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
6,15,11,1,0,54.54,2,caught,2,v Pakistan,Jamshedpur,9-Apr-05
123,192,130,12,2,94.61,2,bowled,1,v Pakistan,Ahmedabad,12-Apr-05
1,13,10,0,0,10,2,caught,1,v Pakistan,Kanpur,15-Apr-05
9,38,15,0,0,60,2,bowled,2,v Pakistan,Delhi,17-Apr-05
93,149,96,9,2,96.87,2,caught,1,v Sri Lanka,Nagpur,25-Oct-05
67*,87,69,11,0,97.1,2,not out,2,v Sri Lanka,Mohali,28-Oct-05
2,2,3,0,0,66.66,2,caught,2,v Sri Lanka,Jaipur,31-Oct-05
11,28,19,1,1,57.89,2,bowled,2,v Sri Lanka,Pune,3-Nov-05
19,46,30,3,0,63.33,2,caught,2,v Sri Lanka,Rajkot,9-Nov-05
39,76,48,8,0,81.25,2,caught,2,v Sri Lanka,Vadodara,12-Nov-05
2,20,9,0,0,22.22,2,caught,1,v South Africa,Hyderabad (Deccan),16-Nov-05
2,31,22,0,0,9.09,2,caught,2,v South Africa,Bengaluru,19-Nov-05
2,18,15,0,0,13.33,3,caught,1,v South Africa,Kolkata,25-Nov-05
30,77,44,5,0,68.18,2,caught,2,v South Africa,Mumbai,28-Nov-05
100,188,113,10,1,88.49,2,lbw,1,v Pakistan,Peshawar,6-Feb-06
42,71,43,8,0,97.67,2,caught,2,v Pakistan,Rawalpindi,11-Feb-06
95,157,104,16,1,91.34,2,caught,2,v Pakistan,Lahore,13-Feb-06
0,7,3,0,0,0,2,caught,2,v Pakistan,Multan,16-Feb-06
35,87,41,5,0,85.36,2,lbw,2,v England,Jaipur,15-Oct-06
29,81,45,4,0,64.44,2,bowled,1,v West Indies,Ahmedabad,26-Oct-06
10,46,26,2,0,38.46,2,caught,1,v Australia,Mohali,29-Oct-06
35,79,51,5,0,68.62,2,bowled,2,v South Africa,Durban,22-Nov-06
2,20,9,0,0,22.22,2,caught,2,v South Africa,Cape Town,26-Nov-06
1,4,3,0,0,33.33,3,caught,2,v South Africa,Port Elizabeth,29-Nov-06
